Title,Artist,Chords,Transpose,Video,Comfort
1979,Smashing Pumpkins,https://tabs.ultimate-guitar.com/t/the_smashing_pumpkins/1979_ver3_crd.htm,,,
(I've Had) The Time of My Life,Bill Medley,https://tabs.ultimate-guitar.com/tab/misc_soundtrack/dirty_dancing_-_ive_had_the_time_of_my_life_chords_1087634,1,,
50 Ways to Eat Your Taco,Paul Simon,https://tabs.ultimate-guitar.com/p/paul_simon/50_ways_to_leave_your_lover_ver6_crd.htm,0,,
A Whole new World,Aladdin,https://tabs.ultimate-guitar.com/m/misc_cartoons/aladdin_-_a_whole_new_world_crd.htm,1,,
Africa,Toto,https://tabs.ultimate-guitar.com/t/toto/africa_ver7_crd.htm,1,,
Alive,Pearl Jam,https://tabs.ultimate-guitar.com/tab/pearl_jam/alive_chords_357373,1,,
All My Life,K-Ci & JoJo,https://tabs.ultimate-guitar.com/tab/k-ci_jojo/all_my_life_chords_73063,1,,
All Star,Smash Mouth,https://tabs.ultimate-guitar.com/s/smash_mouth/all_star_acoustic_crd.htm,1,,
All You Wanted,Michelle Branch,https://tabs.ultimate-guitar.com/user/tab/view?h=bDZNr5dZ4-Q3qAc4-4raqfrc,0,,
Amish Paradise,Weird Al,Ab  / Fmi / G / Cmi     http://www.azlyrics.com/lyrics/weirdalyankovic/amishparadise.html,1,,
Another Night,Real Mccoy,https://tabs.ultimate-guitar.com/r/real_mccoy/another_night_crd.htm,1,,
As Long as You Love Me,Backstreet Boys,https://tabs.ultimate-guitar.com/user/tab/view?h=vlQg6JkNXB2Qj5qD_z2mmsFE,1,,
Back At One,Brian McKnight,https://tabs.ultimate-guitar.com/b/brian_mcknight/back_at_one_ver6_crd_1032478id_25022011date.htm,0,,
Bad Moon Rising,CCR,https://tabs.ultimate-guitar.com/tab/creedence_clearwater_revival/bad_moon_rising_chords_15892,1,,
Badfish,Sublime,https://tabs.ultimate-guitar.com/s/sublime/bad_fish_ver4_tab.htm,0,,
Bennie and the Jets,Elton John,https://tabs.ultimate-guitar.com/e/elton_john/bennie_and_the_jets_crd.htm,0,,
Break Stuff,Limp Bizkit,,1,,
Buddy Holly,Weezer,https://tabs.ultimate-guitar.com/w/weezer/buddy_holly_ver2_crd.htm,1,,
Can't Take My Eyes Off of You,Frankie Valli,http://www.e-chords.com/chords/frankie-valli/cant-take-my-eyes-off-you,0,,
Careless Whisper,George Michael,https://tabs.ultimate-guitar.com/g/george_michael/careless_whisper_crd.htm,1,,
Cherry Bomb,The Runaways,https://tabs.ultimate-guitar.com/user/tab/view?h=y9o8ku2aTPTLevBoqbtgXs64,1,,
Chop Suey,System of a Down,https://tabs.ultimate-guitar.com/user/tab/view?h=KMWPi1nAUQPLbKbNGxBNn1td,1,,
Closer,Tegan and Sara,https://tabs.ultimate-guitar.com/t/tegan_and_sara/closer_crd.htm,0,,
Closing Time,Semisonic,https://tabs.ultimate-guitar.com/tab/semisonic/closing_time_chords_27240,1,,
Code Monkey,Jonathan Coulton,https://tabs.ultimate-guitar.com/j/jonathan_coulton/code_monkey_crd.htm,1,,
Common People,Pulp,https://tabs.ultimate-guitar.com/p/pulp/common_people_ver3_crd.htm,0,,
Confrontation,Jekyll & Hyde,https://tabs.ultimate-guitar.com/m/misc_soundtrack/jekyll_and_hyde_-_confrontation_ver2_crd.htm,0,,
Crazy Little Thing Called Love,Queen,https://tabs.ultimate-guitar.com/q/queen/crazy_little_thing_called_love_ver4_crd.htm,1,,
CREAM,Wu Tang Clan,,0,,
Creep,Radiohead,https://tabs.ultimate-guitar.com/tab/radiohead/creep_chords_4169,1,,
Crusin,Smokey Robinson,https://tabs.ultimate-guitar.com/s/smokey_robinson/cruisin_crd.htm,0,,
Dairy Queen,PWR BTTM,https://tabs.ultimate-guitar.com/p/pwr_bttm/dairy_queen_ukulele_crd.htm,0,,
Dani California,Red Hot Chil Peppers,https://tabs.ultimate-guitar.com/r/red_hot_chili_peppers/dani_california_ver2_crd.htm,0,,
Don't Dream It's Over,Crowded House,https://tabs.ultimate-guitar.com/c/crowded_house/dont_dream_its_over_crd.htm,0,,
Don't Know Much,Linda Ronstadt and Aaron Neville,https://tabs.ultimate-guitar.com/l/linda_ronstadt/dont_know_much_crd.htm,0,,
Don't Stop Me Now,Queen,https://tabs.ultimate-guitar.com/q/queen/dont_stop_me_now_ver3_crd.htm,1,,
Don't Think Twice it's Alright,Bob Dylan,https://tabs.ultimate-guitar.com/b/bob_dylan/dont_think_twice_its_all_right_ver2_crd.htm,0,,
Don't You Want Me,The Human League,https://tabs.ultimate-guitar.com/t/the_human_league/dont_you_want_me_ver3_crd.htm,0,,
