Song,Artist,Chords,Comfort,Bass,Drums,Guitar1,Guitar2,lkvote
1979,Smashing Pumpkins,https://tabs.ultimate-guitar.com/t/the_smashing_pumpkins/1979_ver3_crd.htm,7,Brian,DR,,,y
A Whole new World,Aladdin,https://tabs.ultimate-guitar.com/m/misc_cartoons/aladdin_-_a_whole_new_world_crd.htm,7,Larry,DR,,,y
Africa,Toto,https://tabs.ultimate-guitar.com/t/toto/africa_ver7_crd.htm,7,Brian,DR,,,y
All Star,Smash Mouth,https://tabs.ultimate-guitar.com/s/smash_mouth/all_star_acoustic_crd.htm,7,Larry,PK,,,y
Amish Paradise,Weird Al,Ab  / Fmi / G / Cmi     http://www.azlyrics.com/lyrics/weirdalyankovic/amishparadise.html,7,Brian,PK,,,y
As Long as You Love Me,Backstreet Boys,https://tabs.ultimate-guitar.com/user/tab/view?h=vlQg6JkNXB2Qj5qD_z2mmsFE,7,Larry,DR,,,y
Black Hole Sun,Soundgarden,https://tabs.ultimate-guitar.com/tab/soundgarden/black_hole_sun_chords_1456364,7,Brian,PK,,,y
Breakin' The Law,Judas Priest,https://tabs.ultimate-guitar.com/user/tab/view?h=eHY4tFs3BDJF2Hx7BtVlYC07,7,Brian,PK,,,y
Buddy Holly,Weezer,https://tabs.ultimate-guitar.com/w/weezer/buddy_holly_ver2_crd.htm,8,Brian,PK,,,y
Careless Whisper,George Michael,https://tabs.ultimate-guitar.com/g/george_michael/careless_whisper_crd.htm,8,Larry,DR,,,y
Chop Suey,System of a Down,https://tabs.ultimate-guitar.com/user/tab/view?h=KMWPi1nAUQPLbKbNGxBNn1td,7,Brian,PK,,,y
Closing Time,Semisonic,https://tabs.ultimate-guitar.com/tab/semisonic/closing_time_chords_27240,7,Larry,DR,,,y
Code Monkey,Jonathan Coulton,https://tabs.ultimate-guitar.com/tab/jonathan_coulton/code_monkey_chords_1179416,6,Larry,DR,,,y
Crazy Little Thing Called Love,Queen,https://tabs.ultimate-guitar.com/tab/queen/crazy_little_thing_called_love_chords_974560,7,Brian,PK,Larry,,
Creep,Radiohead,https://tabs.ultimate-guitar.com/tab/radiohead/creep_chords_4169,8,Larry,DR,,,y
Don't Stop Believin',Journey,https://tabs.ultimate-guitar.com/tab/journey/dont_stop_believin_chords_2063241,7,Brian,DR,,,y
Don't Stop Me Now,Queen,https://tabs.ultimate-guitar.com/q/queen/dont_stop_me_now_ver3_crd.htm,8,Brian,PK,,,y
